stdDevYAbsGrad,MeanGradX,MeanGradY
19.28905435,11.3141,9.5135
8.516197987,2.8618,2.8072
30.78039192,30.4444,22.4464
13.64341183,1.2462,1.3058
19.20619825,5.342,5.3836
13.84960556,14.836,15.1686
9.37507213,5.2194,9.3516
35.62588082,9.1009,9.5147
25.45542655,3.155,2.8044
14.19579574,9.4134,5.0344
18.60920168,5.7898,6.6778
28.92070196,11.4093,9.5721
16.05319208,6.1222,4.732
23.98369688,11.136,11.2304
19.73871302,2.7096,2.8406
32.56384547,8.2323,15.6207
9.227184888,1.1884,1.4148
24.70475501,13.0522,12.3772
21.02709745,1.8184,1.6708
16.40142077,3.3948,3.1892
11.74780074,2.067,1.8924
26.92977715,6.8842,8.3838
17.44172165,2.1928,1.9476
15.56476248,11.8288,11.913
8.515800571,1.1552,1.3492
21.16986915,4.946,4.6002
20.42988626,4.8798,5.2266
27.60531737,2.9532,4.0354
9.045899624,1.4662,1.07
28.51636962,18.6934,11.7372
17.59157938,4.802,4.1074
20.66692634,7.7656,13.3334
16.05910419,10.3612,10.8292
12.36979538,6.8235,6.6215
19.53910551,5.9636,6.334
17.71844594,2.8658,3.9058
34.55125231,5.4546,6.342
28.22704951,10.1692,7.974
5.721015994,3.5726,3.276
22.50474332,8.474,8.1798
23.25279932,8.8666,7.682
30.39303301,16.217,20.8408
20.93985696,8.0984,7.7362
11.62205082,13.5821,11.9941
20.54449814,9.968,8.6296
25.11255002,13.4444,13.4944
19.90522476,5.2948,6.5918
25.036974,15.5314,13.6036
13.84814546,5.1088,4.9918
18.21993038,9.1517,10.1133
15.90918057,9.6114,10.4688
28.81062116,11.6953,14.6221
25.08305592,8.0762,8.6758
22.40163859,6.535,6.4308
22.21648448,5.5518,6.6588
25.01463793,9.9358,10.867
18.3449168,5.8929,6.1137
17.40499689,9.1751,9.0677
24.1562298,7.6248,9.5486
9.168421803,10.0798,7.3858
2.52856114,1.3892,1.3184
17.36298079,8.6846,6.5714
15.27763785,6.4472,7.6224
7.105701215,3.4444,2.4968
20.63251546,8.4628,9.5742
16.22828897,5.4266,5.7654
18.63744644,9.3445,9.2247
16.24273831,22.2947,18.4547
18.30948374,17.0164,16.5246
14.52392039,6.064,5.4608
13.65227448,6.1738,5.9988
16.93586344,10.122,8.8158
13.90864606,14.833,15.8478
21.97268249,7.2826,9.732
16.67838493,8.182,8.974
18.5507044,8.2357,9.2647
18.23941622,9.6833,9.0199
19.86262101,17.1754,21.5262
18.17675258,10.2458,12.5476
23.48646871,14.6538,15.1356
12.51772254,5.9856,6.4162
14.22624314,14.1409,10.5025
14.03683009,18.4728,17.001
17.55638662,11.5342,11.183
15.35903307,18.0294,17.8048
20.09284042,12.1028,16.642
15.9562599,17.5402,15.3114
14.32295617,5.7486,5.5716
6.949161658,10.8935,8.6515
18.19013796,8.528,7.941
18.19013796,,
26.06680604,,
