stdDevYAbsGrad,MeanGradX,MeanGradY
25.38317432,23.2968,24.1512
16.23722636,14.6471,13.9805
15.46942474,10.3668,9.5768
21.16019081,15.7144,16.9478
19.69639471,22.3842,20.3166
18.6086281,13.9175,17.8355
24.37127185,27.2354,21.1308
31.7107768,10.0446,14.5252
22.26633423,7.3772,17.9002
16.969285,11.1146,14.5238
14.80249687,13.9109,12.2121
24.2686615,9.7,13.1878
21.6821143,6.9474,21.2456
22.18378867,10.8889,11.6747
18.82641102,11.4124,13.9396
30.1932025,9.8545,24.8233
26.79449914,8.9906,14.7902
23.42590026,15.4008,18.0346
22.21310845,22.5983,14.3483
26.5048696,17.9791,17.6931
25.56347851,24.5664,25.7716
35.91643343,18.021,19.1114
22.9732455,15.1554,17.1944
24.1602119,14.8218,16.0936
23.66997889,23.4808,23.1634
17.57966855,13.7339,10.8769
24.15028066,14.4213,15.2201
37.87384783,23.9416,23.6416
38.00021514,15.752,20.257
25.11891701,22.0438,14.6594
26.15605475,24.3176,23.02
14.04667642,12.939,11.2858
19.84967908,11.5442,10.5494
26.22761883,18.9845,17.4321
47.40425613,31.9248,30.1578
21.65200333,22.734,13.2428
26.19676933,28.6005,19.9657
20.49701988,9.5121,11.6199
18.55856471,9.7341,9.8801
23.35777469,10.2883,11.8987
41.27308832,7.7436,25.7922
92.28540963,9.6924,28.513
20.17312074,20.1473,20.0781
20.37725896,20.6054,18.6154
40.88839727,20.1964,20.987
13.0341333,6.0384,6.713
23.57816276,10.575,11.379
36.62798979,21.007,30.442
33.94473675,14.1086,15.4526
30.87126524,12.1482,24.8826
19.5488236,19.6472,21.5098
26.63790067,28.0155,30.5863
24.6227152,14.1521,15.7147
32.45727886,17.0598,22.257
26.17319945,14.6934,20.7084
27.16550367,12.5161,13.6105
20.69011433,21.7831,18.0083
17.40917836,15.351,15.8164
19.59039226,13.5424,9.7318
25.80259772,11.473,13.7774
26.26237879,12.4253,16.3355
22.02306262,10.5024,7.8208
15.02408703,16.7052,16.303
29.25244434,18.129,23.13
24.65145321,20.0038,14.6116
16.74414505,24.1762,14.6738
24.62351215,14.1348,15.5212
28.58066563,35.4446,22.4404
29.31075715,26.1156,20.0334
32.87335594,37.523,28.1946
35.55655367,15.9794,20.0556
37.7444463,24.3033,22.0963
27.69566038,29.7974,28.086
21.21559665,20.2519,22.3417
30.76723881,26.0402,23.9796
36.84975769,9.7408,21.9268
22.51716798,17.1354,15.2568
33.18331314,14.3057,15.7411
16.01403499,11.9683,11.0677
14.22470723,15.1016,10.8804
25.09513359,14.5229,14.7295
21.81993946,15.8556,16.8014
27.20422105,27.3506,24.0846
24.69681903,26.9457,20.8969
18.37557831,10.6582,11.4358
24.69265368,13.5668,18.3462
14.35059578,13.9608,13.0008
22.01708036,23.4973,17.9835
17.56885491,17.6563,16.3811
39.8715948,30.91,37.0594
16.54429109,17.5982,13.3606
28.64295463,35.3745,20.2499
19.87970188,16.3648,14.5354
19.24357548,12.6771,13.1091
29.37854264,32.8641,30.4943
18.8795955,7.885,8.4124
23.29748283,7.5082,12.0624
21.08785214,13.3349,16.1435
25.06710603,14.6762,16.9718
23.08835225,11.3502,15.2362
18.68288551,16.4872,21.7054
22.36153266,19.7615,17.3939
27.86496145,19.8714,18.4518
38.23072476,30.1381,41.2049
23.09008086,28.7903,19.7353
21.13755137,28.1065,15.8665
29.81008017,25.5684,22.1998
18.05439443,11.7147,13.2763
18.72655339,17.5852,14.6732
26.41252084,20.7572,17.4326
18.77525463,22.6828,13.3688
19.91002057,16.2216,15.059
30.62542114,19.9445,19.9445
37.3201212,11.4541,18.1177
